ClientID,Customer Name,Postcode
1,Fando Healthcare (UK) Limited,SO43 9WE
2,Chatbean Industries UK Limited,BD23 4JE
3,Bluepedia Publishing (UK) Limited,WD3 5TT
4,Dabbuzz Protection (UK) PLC,EH27 7PJ
5,Yaveo Construction (UK) PLC,DL7 5PH
6,Gabpoint Technology PLC,CA10 9PP
7,Bluetype Research Group Limited,CF42 5HA
8,Deminyx Construction (UK) PLC,BH16 8UW
9,Livewire Technology Limited,EX35 6BH
10,Linktune Marketing International Limited,BT12 6HU
11,Kwilith Banking International Limited,TN32 1AA
12,PhotoXS Industries Group Limited,GU34 2WU
13,Chatterbean Services Group Limited,ME17 8TL
14,Realset Insurance International PLC,AB51 3GH
15,Snappath Equipment International Limited,EX22 0FN
16,Topicware Electrical (UK) Limited,BT12 6HN
17,Chatterware Industries International PLC,CO16 3QH
18,Browsepad Services International Limited,BT23 3AF 
19,Zanu Global UK Limited,BT34 6LU
20,Roomm Services UK PLC,BT36 7DR
21,Demixo Computers Limited,WF2 3YU
22,Flashchat Investment (UK) Limited,BS23 3UU
23,Falium Manufacturing UK Limited,NN12 9QA
24,Tagdog Engineering (UK) PLC,SK10 5NS
25,Flashbuzz Telecommunications UK Limited,AB31 6EA
26,Tagdrive Electronics UK Limited,TN15 5BR
27,Bubblebeat Solutions (UK) PLC,BT26 6AB
28,Taglist Engineering UK PLC,AB54 0FG
29,JabberZ International International PLC,NW7 3DW
30,Topfeed International UK Limited,LL65 3WX
31,Skajo Computer Solutions (UK) Limited,NE46 2JW
32,Tagset Minerals International Limited,BT4 3BH
33,Chatbox Services International Limited,BT32 0LN
34,Aginti Manufacturing PLC,BT35 7PD
35,Myspot Technology International Limited,FK20 1ZX
36,Wikimbo Digital PLC,ME13 5TD
37,Digijam Solutions PLC,BT25 6HR
38,Fanyx Foods (UK) Limited,BT38 6HR
39,Quimm Global (UK) Limited,AB31 9JH
40,Kwixo Services Limited,DG8 2DX
41,Yousphere Plastics (UK) PLC,WR10 8BT
42,Buzzlinks Services Group Limited,TQ6 7SY
43,Jabbernation Services (UK) Limited,HU11 7UL
44,Eitz Supplies PLC,OX6 7TS
45,Feedpath Electronics PLC,EC4V 4GF
46,Riffbug Solutions UK Limited,SY17 9UB
47,Leezz Security Services International PLC,BT13 2ES
48,Myzzy Computers (UK) PLC,LL57 1QN
49,Topicjam Services UK Limited,SK11 3TJ
50,Mimm Security Services Group Limited,IP19 7QB
51,Voodel Technology Group PLC,CM8 4TP
