date,datatype,station,flags,temp_c
2021-01-16,TMAX,GHCND:USW00014732,",,W,2400",9.4
2021-01-16,TMIN,GHCND:USW00014732,",,W,2400",4.4
2021-01-17,TMAX,GHCND:USW00014732,",,W,2400",7.8
2021-01-17,TMIN,GHCND:USW00014732,",,W,2400",3.3
2021-01-18,TMAX,GHCND:USW00014732,",,W,2400",8.3
2021-01-18,TMIN,GHCND:USW00014732,",,W,2400",4.4
2021-01-19,TMAX,GHCND:USW00014732,",,W,2400",6.1
2021-01-19,TMIN,GHCND:USW00014732,",,W,2400",3.3
2021-01-20,TMAX,GHCND:USW00014732,",,W,2400",5.6
2021-01-20,TMIN,GHCND:USW00014732,",,W,2400",-1.6
2021-01-21,TMAX,GHCND:USW00014732,",,W,2400",7.2
2021-01-21,TMIN,GHCND:USW00014732,",,W,2400",-2.7
2021-01-22,TMAX,GHCND:USW00014732,",,W,2400",7.8
2021-01-22,TMIN,GHCND:USW00014732,",,W,2400",3.3
2021-01-23,TMAX,GHCND:USW00014732,",,W,2400",3.3
2021-01-23,TMIN,GHCND:USW00014732,",,W,2400",-2.7
2021-01-24,TMAX,GHCND:USW00014732,",,W,2400",1.1
2021-01-24,TMIN,GHCND:USW00014732,",,W,2400",-4.3
2021-01-25,TMAX,GHCND:USW00014732,",,W,2400",3.9
2021-01-25,TMIN,GHCND:USW00014732,",,W,2400",-3.2
2021-01-26,TMAX,GHCND:USW00014732,",,W,2400",2.2
2021-01-26,TMIN,GHCND:USW00014732,",,W,2400",0.6
2021-01-27,TMAX,GHCND:USW00014732,",,W,2400",3.9
2021-01-27,TMIN,GHCND:USW00014732,",,W,2400",0.6
2021-01-28,TMAX,GHCND:USW00014732,",,W,2400",1.7
2021-01-28,TMIN,GHCND:USW00014732,",,W,2400",-4.9
2021-01-29,TMAX,GHCND:USW00014732,",,W,2400",-2.1
2021-01-29,TMIN,GHCND:USW00014732,",,W,2400",-8.2
2021-01-30,TMAX,GHCND:USW00014732,",,W,2400",1.1
2021-01-30,TMIN,GHCND:USW00014732,",,W,2400",-7.1
2021-01-31,TMAX,GHCND:USW00014732,",,W,2400",-2.7
2021-01-31,TMIN,GHCND:USW00014732,",,W,2400",-6.0
2021-02-01,TMAX,GHCND:USW00014732,",,W,2400",1.7
2021-02-01,TMIN,GHCND:USW00014732,",,W,2400",-3.8
2021-02-02,TMAX,GHCND:USW00014732,",,W,2400",1.7
2021-02-02,TMIN,GHCND:USW00014732,",,W,2400",-1.0
2021-02-03,TMAX,GHCND:USW00014732,",,W,2400",3.3
2021-02-03,TMIN,GHCND:USW00014732,",,W,2400",-1.0
2021-02-04,TMAX,GHCND:USW00014732,",,W,2400",6.1
2021-02-04,TMIN,GHCND:USW00014732,",,W,2400",0.6
2021-02-05,TMAX,GHCND:USW00014732,",,W,2400",9.4
2021-02-05,TMIN,GHCND:USW00014732,",,W,2400",2.2
2021-02-06,TMAX,GHCND:USW00014732,",,W,2400",7.8
2021-02-06,TMIN,GHCND:USW00014732,",,W,2400",0.6
2021-02-07,TMAX,GHCND:USW00014732,",,W,2400",4.4
2021-02-07,TMIN,GHCND:USW00014732,",,W,2400",-2.7
2021-02-08,TMAX,GHCND:USW00014732,",,W,2400",-0.5
2021-02-08,TMIN,GHCND:USW00014732,",,W,2400",-7.1
2021-02-09,TMAX,GHCND:USW00014732,",,W,2400",1.1
2021-02-09,TMIN,GHCND:USW00014732,",,W,2400",-4.3
2021-02-10,TMAX,GHCND:USW00014732,",,W,2400",2.2
2021-02-10,TMIN,GHCND:USW00014732,",,W,2400",-2.7
2021-02-11,TMAX,GHCND:USW00014732,",,W,2400",0.6
2021-02-11,TMIN,GHCND:USW00014732,",,W,2400",-3.2
2021-02-12,TMAX,GHCND:USW00014732,",,W,2400",-1.0
2021-02-12,TMIN,GHCND:USW00014732,",,W,2400",-6.0
2021-02-13,TMAX,GHCND:USW00014732,",,W,2400",-0.5
2021-02-13,TMIN,GHCND:USW00014732,",,W,2400",-3.2
2021-02-14,TMAX,GHCND:USW00014732,",,W,2400",3.9
2021-02-14,TMIN,GHCND:USW00014732,",,W,2400",-2.1
2021-02-15,TMAX,GHCND:USW00014732,",,W,2400",1.7
2021-02-15,TMIN,GHCND:USW00014732,",,W,2400",0.0
2021-02-16,TMAX,GHCND:USW00014732,",,W,2400",11.7
2021-02-16,TMIN,GHCND:USW00014732,",,W,2400",1.1
2021-02-17,TMAX,GHCND:USW00014732,",,W,2400",2.2
2021-02-17,TMIN,GHCND:USW00014732,",,W,2400",-4.9
2021-02-18,TMAX,GHCND:USW00014732,",,W,2400",-1.0
2021-02-18,TMIN,GHCND:USW00014732,",,W,2400",-3.8
2021-02-19,TMAX,GHCND:USW00014732,",,W,2400",1.1
2021-02-19,TMIN,GHCND:USW00014732,",,W,2400",-2.1
2021-02-20,TMAX,GHCND:USW00014732,",,W,2400",2.2
2021-02-20,TMIN,GHCND:USW00014732,",,W,2400",-2.1
2021-02-21,TMAX,GHCND:USW00014732,",,W,2400",3.3
2021-02-21,TMIN,GHCND:USW00014732,",,W,2400",-3.8
2021-02-22,TMAX,GHCND:USW00014732,",,W,2400",4.4
2021-02-22,TMIN,GHCND:USW00014732,",,W,2400",0.6
2021-02-23,TMAX,GHCND:USW00014732,",,W,2400",7.8
2021-02-23,TMIN,GHCND:USW00014732,",,W,2400",3.3
2021-02-24,TMAX,GHCND:USW00014732,",,W,2400",11.7
2021-02-24,TMIN,GHCND:USW00014732,",,W,2400",5.0
2021-02-25,TMAX,GHCND:USW00014732,",,W,2400",11.1
2021-02-25,TMIN,GHCND:USW00014732,",,W,2400",5.0
2021-02-26,TMAX,GHCND:USW00014732,",,W,2400",8.3
2021-02-26,TMIN,GHCND:USW00014732,",,W,2400",1.7
2021-02-27,TMAX,GHCND:USW00014732,",,W,2400",11.1
2021-02-27,TMIN,GHCND:USW00014732,",,W,2400",2.8
2021-02-28,TMAX,GHCND:USW00014732,",,W,2400",8.3
2021-02-28,TMIN,GHCND:USW00014732,",,W,2400",3.9
2021-03-01,TMAX,GHCND:USW00014732,",,W,2400",9.4
