Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Immigrants,Foreigners,Afghanistan,935,Asia,5501,Southern Asia,902,Less developed regions,722,1881,1569,2566,3222,2794,2831,2424,2873,3232,3187,2879,2685,2964,2344,1424,1263,1127,830,877,1011,1202,1759,1252,2137,4749,3417,1753,2813,3165,2017,1648,1617,2196
Immigrants,Foreigners,Albania,908,Europe,925,Southern Europe,901,More developed regions,30,11,23,22,32,45,53,62,82,71,78,142,682,1400,1489,1420,4007,4374,4220,3695,4755,4358,3765,3362,3840,5947,7914,5737,5754,5137,4711,3612,3364,3186
Immigrants,Foreigners,Algeria,903,Africa,912,Northern Africa,902,Less developed regions,175,184,190,201,197,202,183,172,199,230,302,269,407,360,364,650,1059,717,804,789,906,875,1030,759,805,1115,1300,1036,1037,1485,1305,1364,1369,1241
Immigrants,Foreigners,American Samoa,909,Oceania,957,Polynesia,902,Less developed regions,0,0,7,7,0,0,0,1,0,..,..,..,0,..,0,..,..,0,4,11,7,28,26,16,12,15,28,11,14,19,14,D,-,D
Immigrants,Foreigners,Andorra,908,Europe,925,Southern Europe,901,More developed regions,2,3,2,1,0,0,1,0,0,4,5,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Immigrants,Foreigners,Angola,903,Africa,911,Middle Africa,902,Less developed regions,194,144,126,116,146,120,116,146,110,143,141,132,107,92,75,81,125,75,66,57,87,94,92,59,107,188,272,199,221,173,148,148,187,143
Immigrants,Foreigners,Anguilla,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,148,116,89,58,61,53,64,21,36,43,41,56,46,23,31,26,36,19,26,20,25,55,20,26,22,35,32,25,22,21,19,25,23,22
Immigrants,Foreigners,Antigua and Barbuda,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,972,929,3234,2008,953,957,812,874,837,979,1319,944,619,554,438,374,406,393,297,454,429,461,380,301,414,440,570,415,444,437,359,368,337,344
Immigrants,Foreigners,Argentina,904,Latin America and the Caribbean,931,South America,902,Less developed regions,2815,2236,2065,2029,2141,1844,2187,2106,2371,3301,5437,3889,3877,2824,2318,1762,2450,1961,1503,1387,2317,3297,3661,3129,4805,7081,7327,5645,5353,5780,4399,4473,4359,4372
Immigrants,Foreigners,Armenia,935,Asia,922,Western Asia,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,6145,6287,3984,1992,2441,2093,1144,1250,1253,1762,1800,1287,1833,2591,6317,4351,3586,3442,2979,2983,2681,2722
Immigrants,Foreigners,Aruba,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,..,..,..,..,..,..,2,75,47,73,83,56,62,36,24,27,28,26,23,14,25,29,32,27,31,42,51,55,36,38,49,39,54,45
Immigrants,Foreigners,Australia,909,Oceania,927,Australia and New Zealand,901,More developed regions,1490,1297,1387,1279,1309,1362,1354,1253,1356,1546,1754,1678,2238,2320,2049,1751,1949,1626,1139,1103,2044,2811,2557,1836,2604,3193,3249,2518,2464,2622,2512,2343,2414,2759
Immigrants,Foreigners,Austria,908,Europe,926,Western Europe,901,More developed regions,401,367,339,433,442,419,463,483,514,501,675,589,701,549,499,518,553,485,290,230,405,522,483,295,402,532,524,485,443,512,442,424,407,415
Immigrants,Foreigners,Azerbaijan,935,Asia,922,Western Asia,902,Less developed regions,..,..,..,..,..,..,..,..,..,..,..,..,1640,2943,2844,1885,1990,1450,504,738,1036,1152,1164,746,969,1523,2371,1166,1071,834,781,728,663,637
Immigrants,Foreigners,Bahamas,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,547,546,577,505,499,533,570,556,1283,861,1378,1062,641,686,589,585,767,641,602,398,766,924,808,423,586,698,847,738,682,751,652,668,619,630
Immigrants,Foreigners,Bahrain,935,Asia,922,Western Asia,902,Less developed regions,39,28,22,25,29,43,30,46,45,47,58,58,81,93,87,78,76,80,52,70,106,118,85,59,116,140,148,133,96,120,104,119,104,115
Immigrants,Foreigners,Bangladesh,935,Asia,5501,Southern Asia,902,Less developed regions,532,756,639,787,823,1146,1634,1649,1325,2180,4252,10676,3740,3291,3434,6072,8221,8680,8616,6038,7204,7152,5483,4616,8061,11487,14644,12074,11753,16651,14819,16707,14705,12099
Immigrants,Foreigners,Barbados,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,2667,2394,1961,1849,1577,1625,1595,1665,1455,1616,1745,1460,1091,1184,897,734,1041,828,725,715,777,895,813,516,630,846,959,689,585,603,465,455,460,428
Immigrants,Foreigners,Belarus,908,Europe,923,Eastern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,3233,4702,5420,3791,4267,3061,978,1320,2170,2901,2923,1858,2255,3503,3086,2328,2390,2407,2038,1964,1659,1970
Immigrants,Foreigners,Belgium,908,Europe,926,Western Europe,901,More developed regions,426,467,559,538,537,538,620,636,581,548,682,525,780,657,516,569,651,553,419,426,670,814,769,455,638,859,716,638,642,686,592,567,574,675
Immigrants,Foreigners,Belize,904,Latin America and the Caribbean,916,Central America,902,Less developed regions,1120,1289,2031,1585,1492,1353,1385,1354,1497,2217,3867,2377,1020,1035,772,644,785,664,494,572,757,936,966,588,871,876,1252,1073,1077,1041,965,905,847,946
Immigrants,Foreigners,Benin,903,Africa,914,Western Africa,902,Less developed regions,32,77,22,17,8,11,8,9,15,16,27,24,10,21,18,23,38,48,47,59,62,75,137,76,185,193,275,258,317,401,486,462,415,342
Immigrants,Foreigners,Bermuda,905,Northern America,905,Northern America,901,More developed regions,195,208,181,194,154,150,172,154,166,182,203,146,153,156,118,111,103,75,62,63,71,98,108,92,100,116,160,108,92,108,72,71,85,88
Immigrants,Foreigners,Bhutan,935,Asia,5501,Southern Asia,902,Less developed regions,13,8,14,10,0,0,1,0,2,..,..,..,..,..,..,..,8,6,6,4,..,5,14,15,17,30,78,52,42,594,6109,10137,10198,8954
Immigrants,Foreigners,Bolivia (Plurinational State of),904,Latin America and the Caribbean,931,South America,902,Less developed regions,730,820,750,823,918,1006,1079,1170,1038,1805,2843,3006,1510,1545,1404,1332,1913,1732,1509,1444,1761,1819,1664,1376,1768,2197,4025,2590,2436,2837,2253,2173,1948,2071
Immigrants,Foreigners,Bosnia and Herzegovina,908,Europe,925,Southern Europe,901,More developed regions,..,..,..,..,..,..,..,..,..,..,..,..,15,159,521,4061,6495,6391,4209,5412,11525,23594,25329,6155,10552,14074,3789,1569,1491,1501,946,878,815,697
Immigrants,Foreigners,Botswana,903,Africa,913,Southern Africa,902,Less developed regions,10,3,4,10,29,11,30,15,24,10,21,3,19,13,13,16,21,18,12,5,13,24,30,27,34,54,53,49,41,55,66,76,80,53
Immigrants,Foreigners,Brazil,904,Latin America and the Caribbean,931,South America,902,Less developed regions,1570,1616,1475,1503,1847,2272,2332,2505,2699,3332,4191,8133,4755,4604,4491,4558,5888,4574,4380,3887,6943,9448,9439,6331,10556,16662,17903,14295,12195,14701,12258,11763,11441,11033
Immigrants,Foreigners,British Virgin Islands,904,Latin America and the Caribbean,915,Caribbean,902,Less developed regions,255,229,101,128,93,183,270,296,395,258,105,137,174,166,137,98,87,93,55,76,67,70,43,43,35,41,47,40,53,46,46,37,39,45
Immigrants,Foreigners,Brunei Darussalam,935,Asia,920,South-Eastern Asia,902,Less developed regions,13,31,13,18,5,16,29,12,12,..,16,15,17,26,..,14,20,6,19,16,16,27,28,20,22,49,25,32,18,26,20,25,19,21
Immigrants,Foreigners,Bulgaria,908,Europe,923,Eastern Europe,901,More developed regions,188,124,207,201,225,249,221,205,217,265,428,623,1049,1029,981,1797,2066,2774,3731,4171,4917,4400,3608,3825,4253,5635,4828,3981,2960,3133,2570,2661,2440,2844
Immigrants,Foreigners,Burkina Faso,903,Africa,914,Western Africa,902,Less developed regions,4,4,5,3,3,3,3,4,6,11,8,8,16,11,16,17,17,13,14,17,48,68,64,60,103,128,221,238,238,416,377,433,558,585
Immigrants,Foreigners,Burundi,903,Africa,910,Eastern Africa,902,Less developed regions,8,9,8,0,4,5,2,1,9,9,5,16,11,13,14,26,36,59,51,16,28,79,120,74,100,186,320,257,255,1505,841,593,535,260
Immigrants,Foreigners,Cabo Verde,903,Africa,914,Western Africa,902,Less developed regions,788,849,852,594,591,627,760,657,921,1118,907,973,757,936,810,968,1012,920,812,902,1079,868,871,745,1015,1225,1780,2048,1916,2238,1668,1808,1684,1673
Immigrants,Foreigners,Cambodia,935,Asia,920,South-Eastern Asia,902,Less developed regions,2801,12749,13438,18120,11856,13563,13501,12460,9629,6076,5179,3251,2573,1639,1404,1492,1566,1638,1436,1394,2138,2462,2800,2263,3553,4022,5773,4246,3713,3771,2986,2745,2473,2624
