Airport.Code,City,State,Airport,Month,MonthNumber,Quarter,Year,Date,Carrier Delays Count,Late Aircraft Delays Count,National Aviation System Delays Count,Security Delays Count,Weather Delays Count,Carriers.Total,Flights Cancelled Count,Flights Delayed Count,Flights Diverted Count,Flights On Time Count,Flights Total Count,Minutes Delayed Carrier,Minutes Delayed Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed Security,Minutes Delayed Weather,Minutes Delayed Total
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,June,6,Q2,2003,37773,1009,1275,3217,17,328,11,216,5843,27,23974,30060,61606,68335,118831,518,19474,268764
BOS,Boston, MA, Logan International,June,6,Q2,2003,37773,374,495,685,3,66,14,138,1623,3,7875,9639,20319,28189,24400,99,4160,77167
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,June,6,Q2,2003,37773,296,477,389,8,78,11,29,1245,15,6998,8287,13635,26810,17556,278,6201,64480
CLT,Charlotte, NC, Charlotte Douglas International,June,6,Q2,2003,37773,300,472,735,2,54,11,73,1562,14,7021,8670,14763,23379,23804,127,3792,65865
DCA,Washington, DC, Ronald Reagan Washington National,June,6,Q2,2003,37773,283,268,487,4,58,13,74,1100,18,5321,6513,13775,13712,20999,120,4141,52747
DEN,Denver, CO, Denver International,June,6,Q2,2003,37773,516,323,664,11,98,13,34,1611,22,10024,11691,26634,18969,23538,706,5581,75428
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,June,6,Q2,2003,37773,986,1390,2147,19,258,13,394,4798,133,22303,27628,70918,80714,90574,683,20632,263521
DTW,Detroit, MI, Detroit Metro Wayne County,June,6,Q2,2003,37773,376,371,570,6,71,11,123,1395,9,10227,11754,21802,18715,16482,139,3529,60667
EWR,Newark, NJ, Newark Liberty International,June,6,Q2,2003,37773,322,519,1948,10,121,13,102,2921,42,9441,12506,20190,30905,91048,490,7880,150513
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,June,6,Q2,2003,37773,247,256,427,5,34,11,13,967,10,3672,4662,12547,14600,14935,141,2080,44303
IAD,Washington, DC, Washington Dulles International,June,6,Q2,2003,37773,320,295,573,3,66,13,101,1256,35,7027,8419,16754,18074,25807,182,4712,65529
JFK,New York, NY, John F. Kennedy International,June,6,Q2,2003,37773,376,226,394,21,28,11,24,1046,13,4695,5778,22029,11593,14103,659,1951,50335
LAS,Las Vegas, NV, McCarran International,June,6,Q2,2003,37773,511,678,624,17,64,12,39,1893,6,9821,11759,24293,31043,19561,808,3828,79533
LAX,Los Angeles, CA, Los Angeles International,June,6,Q2,2003,37773,830,765,842,37,97,12,101,2571,10,15780,18462,40089,39655,26162,2559,5969,114434
LGA,New York, NY, LaGuardia,June,6,Q2,2003,37773,302,338,867,4,94,11,121,1604,22,7161,8908,17384,18954,41007,191,5323,82859
MCO,Orlando, FL, Orlando International,June,6,Q2,2003,37773,368,434,535,3,48,12,9,1388,9,6211,7617,17707,26116,18073,56,3188,65140
MDW,Chicago, IL, Chicago Midway International,June,6,Q2,2003,37773,180,411,311,12,39,9,47,951,6,6057,7061,8535,20938,10702,331,2456,42962
MIA,Miami, FL, Miami International,June,6,Q2,2003,37773,247,210,585,2,66,11,28,1105,22,3745,4900,12609,12700,22976,66,3840,52191
MSP,Minneapolis, MN, Minneapolis-St Paul International,June,6,Q2,2003,37773,428,376,759,9,106,11,101,1678,11,10404,12194,27468,20994,23137,529,6131,78259
ORD,Chicago, IL, Chicago O'Hare International,June,6,Q2,2003,37773,801,982,2947,11,157,12,261,4899,38,24997,30195,54296,55855,135851,604,10401,257007
PDX,Portland, OR, Portland International,June,6,Q2,2003,37773,193,248,213,11,22,9,17,684,5,4040,4746,8260,11909,5943,505,1028,27645
PHL,Philadelphia, PA, Philadelphia International,June,6,Q2,2003,37773,338,565,1083,1,64,12,83,2049,20,6917,9069,16478,31005,45538,21,4131,97173
PHX,Phoenix, AZ, Phoenix Sky Harbor International,June,6,Q2,2003,37773,491,569,664,19,41,12,57,1783,10,12158,14008,26512,27458,18673,768,2620,76031
SAN,San Diego, CA, San Diego International,June,6,Q2,2003,37773,324,349,341,8,30,12,20,1052,4,5775,6851,15034,15747,10449,223,1762,43215
SEA,Seattle, WA, Seattle/Tacoma International,June,6,Q2,2003,37773,448,552,454,28,36,12,63,1516,9,7658,9246,22647,28119,13860,1097,2950,68673
SFO,San Francisco, CA, San Francisco International,June,6,Q2,2003,37773,416,312,1080,14,59,11,83,1880,9,8211,10183,22673,17879,45407,1138,3390,90487
SLC,Salt Lake City, UT, Salt Lake City International,June,6,Q2,2003,37773,363,290,352,15,36,10,34,1057,0,9491,10582,16227,13883,10512,556,1685,42863
TPA,Tampa, FL, Tampa International,June,6,Q2,2003,37773,226,327,524,3,42,11,12,1122,11,4256,5401,11012,18558,19078,112,2604,51364
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,July,7,Q3,2003,37803,1259,1791,4022,13,367,11,484,7452,71,22868,30875,87261,116728,184740,356,29189,418274
BOS,Boston, MA, Logan International,July,7,Q3,2003,37803,450,587,609,0,61,14,226,1710,3,8033,9972,28610,36619,26923,10,5024,97186
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,July,7,Q3,2003,37803,387,646,544,4,102,11,57,1679,20,6855,8611,18395,42876,28654,81,10151,100157
CLT,Charlotte, NC, Charlotte Douglas International,July,7,Q3,2003,37803,335,542,945,0,74,11,163,1895,24,6883,8965,17830,32502,37630,0,6569,94531
DCA,Washington, DC, Ronald Reagan Washington National,July,7,Q3,2003,37803,343,270,573,3,74,13,181,1260,13,5241,6695,17776,18002,25897,111,6053,67839
DEN,Denver, CO, Denver International,July,7,Q3,2003,37803,562,434,646,2,111,13,71,1753,9,10869,12702,29155,30028,25912,87,6711,91893
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,July,7,Q3,2003,37803,1216,1443,2081,18,244,13,274,5003,64,22982,28323,78047,83156,80740,447,16241,258631
DTW,Detroit, MI, Detroit Metro Wayne County,July,7,Q3,2003,37803,475,448,816,4,145,12,175,1891,22,10104,12192,33660,26421,30809,137,12886,103913
EWR,Newark, NJ, Newark Liberty International,July,7,Q3,2003,37803,410,706,1665,11,125,13,285,2917,59,9797,13058,27536,45894,95872,295,11242,180839
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,July,7,Q3,2003,37803,262,328,412,6,35,11,19,1041,1,3785,4846,13333,21007,15824,172,2378,52714
IAD,Washington, DC, Washington Dulles International,July,7,Q3,2003,37803,395,406,671,10,84,13,217,1567,14,6990,8788,22887,26373,35084,309,8067,92720
JFK,New York, NY, John F. Kennedy International,July,7,Q3,2003,37803,347,231,455,12,39,11,32,1082,24,5067,6205,21108,13117,16836,362,2977,54400
LAS,Las Vegas, NV, McCarran International,July,7,Q3,2003,37803,560,760,570,8,99,13,73,1998,52,10083,12206,30498,44219,26557,210,8786,110270
LAX,Los Angeles, CA, Los Angeles International,July,7,Q3,2003,37803,864,807,557,12,141,12,145,2380,10,16760,19295,45717,47458,23552,224,10033,126984
LGA,New York, NY, LaGuardia,July,7,Q3,2003,37803,336,434,1060,0,105,11,285,1934,63,7012,9294,20643,27725,61204,12,7782,117366
MCO,Orlando, FL, Orlando International,July,7,Q3,2003,37803,451,519,797,3,63,12,19,1834,10,6163,8026,24063,34566,32395,60,4211,95295
MDW,Chicago, IL, Chicago Midway International,July,7,Q3,2003,37803,236,559,637,14,86,9,62,1531,51,5655,7299,13792,38121,35400,370,8309,95992
MIA,Miami, FL, Miami International,July,7,Q3,2003,37803,315,268,588,4,41,12,44,1216,17,3849,5126,20847,19233,22787,121,3731,66719
MSP,Minneapolis, MN, Minneapolis-St Paul International,July,7,Q3,2003,37803,531,428,860,6,108,11,141,1930,13,10766,12850,33129,28529,32299,153,8170,102280
ORD,Chicago, IL, Chicago O'Hare International,July,7,Q3,2003,37803,961,1728,4305,8,258,12,1258,7259,135,22693,31345,75266,137519,314331,201,24251,551568
PDX,Portland, OR, Portland International,July,7,Q3,2003,37803,224,332,126,7,26,9,25,716,2,4273,5016,10823,19298,4604,180,1946,36851
PHL,Philadelphia, PA, Philadelphia International,July,7,Q3,2003,37803,399,634,1130,1,93,12,198,2257,21,6876,9352,19469,41424,52527,15,7718,121153
PHX,Phoenix, AZ, Phoenix Sky Harbor International,July,7,Q3,2003,37803,593,743,498,8,66,12,96,1909,27,12378,14410,35809,46071,18713,181,4739,105513
SAN,San Diego, CA, San Diego International,July,7,Q3,2003,37803,381,386,340,3,44,12,34,1155,14,5974,7177,17465,21781,12051,83,3244,54624
SEA,Seattle, WA, Seattle/Tacoma International,July,7,Q3,2003,37803,506,637,421,26,67,12,82,1654,5,8251,9992,25125,37050,15618,631,4796,83220
SFO,San Francisco, CA, San Francisco International,July,7,Q3,2003,37803,473,365,539,10,76,11,79,1464,8,9192,10743,24613,24504,23592,261,6490,79460
SLC,Salt Lake City, UT, Salt Lake City International,July,7,Q3,2003,37803,404,284,330,9,65,10,58,1093,11,9782,10944,20318,16143,11910,285,3979,52635
TPA,Tampa, FL, Tampa International,July,7,Q3,2003,37803,248,395,445,3,44,11,18,1135,9,4452,5614,12661,26212,18532,73,3299,60777
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,August,8,Q3,2003,37834,1220,1766,4475,9,361,11,364,7829,56,23056,31305,77042,108114,163912,304,20758,370130
BOS,Boston, MA, Logan International,August,8,Q3,2003,37834,481,698,978,0,100,14,292,2256,15,7370,9933,28571,49297,42254,4,7368,127494
BWI,Baltimore, MD, Baltimore/Washington International Thurgood Marshall,August,8,Q3,2003,37834,396,668,734,6,127,11,66,1931,41,6598,8636,19817,41456,36608,179,9696,107756
CLT,Charlotte, NC, Charlotte Douglas International,August,8,Q3,2003,37834,349,511,928,1,90,11,189,1882,36,6841,8948,17440,30964,38430,116,6669,93619
DCA,Washington, DC, Ronald Reagan Washington National,August,8,Q3,2003,37834,338,327,795,3,89,13,262,1554,41,4886,6743,17512,23603,42353,113,6516,90097
DEN,Denver, CO, Denver International,August,8,Q3,2003,37834,544,362,560,3,111,12,79,1582,9,11122,12792,30247,25493,23385,77,7830,87032
DFW,Dallas/Fort Worth, TX, Dallas/Fort Worth International,August,8,Q3,2003,37834,1178,1350,2138,17,269,13,466,4951,169,22370,27956,77082,80115,106597,526,22341,286661
DTW,Detroit, MI, Detroit Metro Wayne County,August,8,Q3,2003,37834,459,442,1034,6,155,12,412,2096,52,9620,12180,29306,27485,46410,293,13049,116543
EWR,Newark, NJ, Newark Liberty International,August,8,Q3,2003,37834,488,713,2528,7,144,13,431,3881,111,8599,13022,36683,56753,180746,177,14747,289106
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International,August,8,Q3,2003,37834,279,396,489,9,46,11,36,1220,14,3555,4825,15853,25824,18216,334,3332,63559
IAD,Washington, DC, Washington Dulles International,August,8,Q3,2003,37834,378,447,849,9,129,13,190,1813,40,6715,8758,21505,30744,43185,295,11090,106819
JFK,New York, NY, John F. Kennedy International,August,8,Q3,2003,37834,403,380,856,15,64,11,205,1717,66,4239,6227,28257,29338,42732,401,4506,105234
LAS,Las Vegas, NV, McCarran International,August,8,Q3,2003,37834,576,747,480,7,75,12,70,1884,10,10293,12257,34285,38636,17699,231,6175,97026
LAX,Los Angeles, CA, Los Angeles International,August,8,Q3,2003,37834,796,761,622,11,139,12,141,2333,9,16770,19253,47486,46658,26226,336,10480,131186
LGA,New York, NY, LaGuardia,August,8,Q3,2003,37834,419,500,1421,1,125,11,597,2465,82,6158,9302,26770,38198,102604,15,12415,180002
MCO,Orlando, FL, Orlando International,August,8,Q3,2003,37834,450,584,757,6,82,13,48,1878,30,6032,7988,25260,38574,31786,454,5466,101540
MDW,Chicago, IL, Chicago Midway International,August,8,Q3,2003,37834,205,446,414,15,72,9,77,1152,13,6035,7277,10853,28232,21868,578,7091,68622
MIA,Miami, FL, Miami International,August,8,Q3,2003,37834,293,314,696,10,70,13,97,1385,13,3663,5158,18544,24339,30059,306,4849,78097
MSP,Minneapolis, MN, Minneapolis-St Paul International,August,8,Q3,2003,37834,533,438,639,9,104,11,182,1724,6,10975,12887,36711,26224,22843,294,7274,93346
ORD,Chicago, IL, Chicago O'Hare International,August,8,Q3,2003,37834,1017,1512,3461,12,237,12,941,6236,138,23806,31121,77366,109807,237540,430,22513,447656
PDX,Portland, OR, Portland International,August,8,Q3,2003,37834,194,336,128,5,29,9,26,693,4,4249,4972,9713,18118,4683,148,2162,34824
PHL,Philadelphia, PA, Philadelphia International,August,8,Q3,2003,37834,442,695,1317,0,132,13,242,2590,31,6527,9390,22519,44213,65862,0,10630,143224
PHX,Phoenix, AZ, Phoenix Sky Harbor International,August,8,Q3,2003,37834,607,719,509,20,87,12,117,1942,14,12284,14357,35681,39053,17893,840,6101,99568
SAN,San Diego, CA, San Diego International,August,8,Q3,2003,37834,375,382,256,2,48,12,27,1062,5,6105,7199,18544,20569,9091,84,3378,51666
SEA,Seattle, WA, Seattle/Tacoma International,August,8,Q3,2003,37834,482,730,364,24,57,12,113,1661,12,8229,10015,27105,41966,13662,839,4340,87912
SFO,San Francisco, CA, San Francisco International,August,8,Q3,2003,37834,517,385,869,10,94,11,96,1876,5,8755,10732,28598,27313,36056,307,7018,99292
SLC,Salt Lake City, UT, Salt Lake City International,August,8,Q3,2003,37834,440,326,381,15,112,10,74,1271,28,9626,10999,23058,16936,13330,596,10510,64430
TPA,Tampa, FL, Tampa International,August,8,Q3,2003,37834,265,350,450,2,61,12,37,1129,19,4317,5502,15252,24242,19501,80,4009,63084
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,September,9,Q3,2003,37865,700,807,2267,4,161,11,359,3936,33,26049,30377,45856,42031,82737,180,9852,180656
BOS,Boston, MA, Logan International,September,9,Q3,2003,37865,287,413,675,1,23,14,257,1398,13,7860,9528,16865,22421,27189,45,1751,68271
